Results written: Wed Feb  4 18:51:18 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.02052876
Contributions  0.02052876
Restraints     0.00000000
Chi2           3.57608007
Reduced Chi2   0.01436177
Rw             0.14327862

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V7_Phase0     4.59599609e-01 +/- 1.66137215e+09
x_V82_Phase0    9.68517994e-01 +/- 1.92409167e+09
x_V83_Phase0    3.14430330e-02 +/- 3.28806719e+08
x_V84_Phase0    3.12558886e-02 +/- 2.74524930e+08
x_V85_Phase0    9.68743335e-01 +/- 1.72673573e+09
x_V87_Phase0    4.66580288e-01 +/- 1.91483822e+09
x_V91_Phase0    3.71078608e-01 +/- 1.94615276e+09
x_V96_Phase0    1.28439315e-01 +/- 1.06051160e+09
x_V97_Phase0    8.71602599e-01 +/- 1.68850255e+09
x_V98_Phase0    3.70988568e-01 +/- 1.43598978e+09
x_V99_Phase0    6.28464962e-01 +/- 1.66645432e+09
x_V9_Phase0     7.85125790e-01 +/- 1.93813570e+09
x_ZR0_Phase0    6.93044059e-04 +/- 6.90862133e+06
x_ZR100_Phase0  5.01262197e-01 +/- 1.99311601e+09
x_ZR101_Phase0  4.98634790e-01 +/- 2.00562904e+09
x_ZR102_Phase0  4.95099798e-01 +/- 1.98466705e+09
x_ZR103_Phase0  5.03036052e-01 +/- 1.98734656e+09
x_ZR104_Phase0  3.75968321e-04 +/- 4.02127617e+06
x_ZR105_Phase0  9.99604420e-01 +/- 2.10159939e+09
x_ZR106_Phase0  9.98144294e-01 +/- 2.08693355e+09
x_ZR107_Phase0  1.90540665e-03 +/- 1.88988483e+07
x_ZR10_Phase0   9.93430499e-01 +/- 2.09838522e+09
x_ZR11_Phase0   5.92510586e-03 +/- 5.95057741e+07
x_ZR12_Phase0   2.78260726e-03 +/- 2.89948738e+07
x_ZR13_Phase0   9.97007354e-01 +/- 2.12654684e+09
x_ZR14_Phase0   5.03762476e-01 +/- 2.00928096e+09
x_ZR15_Phase0   4.97070911e-01 +/- 2.01122378e+09
x_ZR16_Phase0   3.37561887e-01 +/- 1.89821437e+09
x_ZR17_Phase0   6.62415756e-01 +/- 2.03566122e+09
x_ZR18_Phase0   6.62679554e-01 +/- 2.04040228e+09
x_ZR19_Phase0   3.37322975e-01 +/- 1.85777577e+09
x_ZR1_Phase0    9.99065003e-01 +/- 2.06285047e+09
x_ZR20_Phase0   8.33914221e-01 +/- 2.08939185e+09
x_ZR21_Phase0   1.65858866e-01 +/- 1.20106938e+09
x_ZR22_Phase0   1.63873090e-01 +/- 1.26050807e+09
x_ZR23_Phase0   8.36202647e-01 +/- 2.04178535e+09
x_ZR24_Phase0   4.99755062e-01 +/- 2.15124244e+09
x_ZR25_Phase0   1.00044349e+00 +/- 2.28569204e+09
x_ZR26_Phase0   4.99783760e-01 +/- 2.14063471e+09
x_ZR27_Phase0   -2.09063896e-04 +/- 1.99197021e+06
x_ZR28_Phase0   1.65542483e-01 +/- 1.30575503e+09
x_ZR29_Phase0   8.35273643e-01 +/- 2.09761600e+09
x_ZR2_Phase0    4.96082076e-01 +/- 1.98177963e+09
x_ZR30_Phase0   3.34885476e-01 +/- 1.80638600e+09
x_ZR31_Phase0   6.65151546e-01 +/- 2.06545967e+09
x_ZR32_Phase0   8.36339502e-01 +/- 2.08353062e+09
x_ZR33_Phase0   1.64446073e-01 +/- 1.27761923e+09
x_ZR34_Phase0   6.65190976e-01 +/- 2.04083917e+09
x_ZR35_Phase0   3.34713963e-01 +/- 1.84335124e+09
x_ZR36_Phase0   1.69944777e-01 +/- 1.30098061e+09
x_ZR37_Phase0   8.29949225e-01 +/- 2.06420791e+09
x_ZR38_Phase0   3.32513808e-01 +/- 1.76945700e+09
x_ZR39_Phase0   6.67502289e-01 +/- 2.06002864e+09
x_ZR3_Phase0    5.04412647e-01 +/- 1.97329262e+09
x_ZR40_Phase0   8.37529644e-01 +/- 2.08682068e+09
x_ZR41_Phase0   1.62193290e-01 +/- 1.27005516e+09
x_ZR42_Phase0   6.66224147e-01 +/- 2.07583008e+09
x_ZR43_Phase0   3.33562744e-01 +/- 1.85283748e+09
x_ZR44_Phase0   3.33029997e-01 +/- 1.77299557e+09
x_ZR45_Phase0   6.67542703e-01 +/- 2.08150760e+09
x_ZR46_Phase0   8.30997303e-01 +/- 2.10497226e+09
x_ZR47_Phase0   1.69014757e-01 +/- 1.31809116e+09
x_ZR48_Phase0   1.70708608e-01 +/- 1.38182870e+09
x_ZR49_Phase0   8.28860934e-01 +/- 2.05182253e+09
x_ZR4_Phase0    9.96853808e-01 +/- 2.02449652e+09
x_ZR50_Phase0   6.67110144e-01 +/- 2.07332352e+09
x_ZR51_Phase0   3.32040089e-01 +/- 1.82927598e+09
x_ZR52_Phase0   3.36263833e-01 +/- 1.91233325e+09
x_ZR53_Phase0   6.63550093e-01 +/- 2.08097055e+09
x_ZR54_Phase0   6.61458214e-01 +/- 2.07058627e+09
x_ZR55_Phase0   3.37371265e-01 +/- 1.83227385e+09
x_ZR56_Phase0   8.35434870e-01 +/- 2.08503013e+09
x_ZR57_Phase0   1.64503871e-01 +/- 1.28684511e+09
x_ZR58_Phase0   1.61701479e-01 +/- 1.36440888e+09
x_ZR59_Phase0   8.38302215e-01 +/- 2.09174252e+09
x_ZR5_Phase0    2.17496094e-03 +/- 2.27617057e+07
x_ZR60_Phase0   5.02559705e-03 +/- 5.19308667e+07
x_ZR61_Phase0   9.94293489e-01 +/- 2.10129501e+09
x_ZR62_Phase0   4.98612385e-01 +/- 1.98795612e+09
x_ZR63_Phase0   5.02294100e-01 +/- 2.01056137e+09
x_ZR64_Phase0   9.98614608e-01 +/- 2.07806333e+09
x_ZR65_Phase0   1.55263616e-03 +/- 1.82683947e+07
x_ZR66_Phase0   5.05151536e-01 +/- 2.03942847e+09
x_ZR67_Phase0   4.94293601e-01 +/- 1.97288231e+09
x_ZR68_Phase0   1.61904027e-01 +/- 1.26629881e+09
x_ZR69_Phase0   8.38775709e-01 +/- 2.09792041e+09
x_ZR6_Phase0    4.99822199e-01 +/- 1.97210214e+09
x_ZR70_Phase0   6.60370170e-01 +/- 2.05439050e+09
x_ZR71_Phase0   3.40544255e-01 +/- 1.82966928e+09
x_ZR72_Phase0   3.40607752e-01 +/- 1.82643302e+09
x_ZR73_Phase0   6.59615736e-01 +/- 2.09825952e+09
x_ZR74_Phase0   8.41421378e-01 +/- 2.07636666e+09
x_ZR75_Phase0   1.58719734e-01 +/- 1.25850854e+09
x_ZR76_Phase0   3.34039630e-01 +/- 1.76813978e+09
x_ZR77_Phase0   6.66557407e-01 +/- 2.04335617e+09
x_ZR78_Phase0   6.68198835e-01 +/- 2.06079543e+09
x_ZR79_Phase0   3.32090412e-01 +/- 1.83123308e+09
x_ZR7_Phase0    5.00125418e-01 +/- 1.98446542e+09
x_ZR80_Phase0   8.33074170e-01 +/- 2.06579939e+09
x_ZR81_Phase0   1.67439007e-01 +/- 1.34208415e+09
x_ZR82_Phase0   1.69679318e-01 +/- 1.35830315e+09
x_ZR83_Phase0   8.30110605e-01 +/- 2.05187527e+09
x_ZR84_Phase0   1.64788456e-01 +/- 1.26782877e+09
x_ZR85_Phase0   8.34861491e-01 +/- 2.09647426e+09
x_ZR86_Phase0   3.34687869e-01 +/- 1.86369562e+09
x_ZR87_Phase0   6.66144221e-01 +/- 2.07303129e+09
x_ZR88_Phase0   8.35206463e-01 +/- 2.09650837e+09
x_ZR89_Phase0   1.64602553e-01 +/- 1.42407586e+09
x_ZR8_Phase0    4.93893088e-01 +/- 1.97946559e+09
x_ZR90_Phase0   6.63414786e-01 +/- 2.06485711e+09
x_ZR91_Phase0   3.36209948e-01 +/- 1.85912633e+09
x_ZR92_Phase0   1.72803896e-01 +/- 1.18182719e+09
x_ZR93_Phase0   8.27057293e-01 +/- 2.09981520e+09
x_ZR94_Phase0   6.67381201e-01 +/- 2.08898916e+09
x_ZR95_Phase0   3.33018969e-01 +/- 1.80141719e+09
x_ZR96_Phase0   3.26212436e-01 +/- 1.82108647e+09
x_ZR97_Phase0   6.73751289e-01 +/- 2.03938159e+09
x_ZR98_Phase0   8.28987191e-01 +/- 2.09014052e+09
x_ZR99_Phase0   1.71201572e-01 +/- 1.36914922e+09
x_ZR9_Phase0    5.06307142e-01 +/- 1.95549964e+09
y_O0_Phase0     3.47392078e-01 +/- 1.67877939e+09
y_O100_Phase0   8.71834971e-01 +/- 2.20191215e+09
y_O101_Phase0   1.28116876e-01 +/- 1.10497763e+09
y_O102_Phase0   1.29363639e-01 +/- 1.16797871e+09
y_O120_Phase0   4.33838833e-01 +/- 1.67253275e+09
y_O122_Phase0   5.73915135e-01 +/- 1.34066728e+09
y_O124_Phase0   9.34483742e-01 +/- 1.79732594e+09
y_O126_Phase0   6.51708506e-02 +/- 6.70891680e+08
y_O144_Phase0   2.71369361e-01 +/- 1.61942103e+09
y_O146_Phase0   7.28420572e-01 +/- 1.91328278e+09
y_O148_Phase0   7.69659346e-01 +/- 1.89282088e+09
y_O150_Phase0   2.28399232e-01 +/- 1.67214546e+09
y_O151_Phase0   7.71719974e-01 +/- 2.16878502e+09
y_O168_Phase0   1.89743350e-01 +/- 1.38991408e+09
y_O170_Phase0   8.09834200e-01 +/- 1.93773094e+09
y_O172_Phase0   6.90686940e-01 +/- 2.13119841e+09
