Results written: Thu Feb  5 00:19:55 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01870964
Contributions  0.01870964
Restraints     0.00000000
Chi2           3.25919173
Reduced Chi2   0.00499111
Rw             0.13678319

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V147_Phase0   5.24030172e-01 +/- 2.62047973e+13
x_V148_Phase0   9.79395375e-01 +/- 1.90442632e+13
x_V149_Phase0   2.06270987e-02 +/- 4.49076141e+12
x_V150_Phase0   5.28929658e-01 +/- 3.31977131e+13
x_V151_Phase0   4.70877562e-01 +/- 2.41983050e+13
x_V153_Phase0   6.28339312e-01 +/- 3.36077550e+13
x_V158_Phase0   6.31314875e-01 +/- 3.10269866e+13
x_V161_Phase0   9.53724677e-01 +/- 3.25099173e+13
x_V168_Phase0   3.66860382e-02 +/- 8.08749776e+12
x_V169_Phase0   9.63236430e-01 +/- 2.68359070e+13
x_V170_Phase0   4.58055413e-01 +/- 2.61995135e+13
x_V171_Phase0   5.41917402e-01 +/- 2.64594233e+13
x_V172_Phase0   9.62969261e-01 +/- 2.21942083e+13
x_V173_Phase0   3.68674995e-02 +/- 7.30287602e+12
x_V174_Phase0   5.37407303e-01 +/- 2.74986592e+13
x_V175_Phase0   4.62570532e-01 +/- 2.68090722e+13
x_V185_Phase0   6.30822266e-01 +/- 3.35695857e+13
x_V192_Phase0   2.10755899e-01 +/- 2.25349579e+13
x_V193_Phase0   7.89135885e-01 +/- 3.02200798e+13
x_V194_Phase0   2.82854857e-01 +/- 2.36613325e+13
x_V195_Phase0   7.17229432e-01 +/- 3.37662098e+13
x_V196_Phase0   7.87173014e-01 +/- 2.96055021e+13
x_V197_Phase0   2.13103095e-01 +/- 2.49614314e+13
x_V198_Phase0   7.13905215e-01 +/- 3.31686668e+13
x_V199_Phase0   2.85654881e-01 +/- 3.09044728e+13
x_V1_Phase0     9.56300300e-01 +/- 3.38701762e+13
x_V201_Phase0   7.00155250e-01 +/- 3.39785560e+13
x_V203_Phase0   2.08015197e-01 +/- 2.60853721e+13
x_V206_Phase0   7.06770265e-01 +/- 3.33566781e+13
x_V207_Phase0   2.93172009e-01 +/- 2.69336036e+13
x_V20_Phase0    6.20785158e-01 +/- 3.33597284e+13
x_V212_Phase0   9.64714508e-01 +/- 3.33081076e+13
x_V213_Phase0   3.49565481e-02 +/- 7.41919374e+12
x_V214_Phase0   4.08706361e-02 +/- 8.67561106e+12
x_V26_Phase0    1.21606529e-01 +/- 2.02577551e+13
x_V27_Phase0    8.78393471e-01 +/- 2.87337388e+13
x_V28_Phase0    6.19375616e-01 +/- 3.32553309e+13
x_V29_Phase0    3.80624385e-01 +/- 3.25222309e+13
x_V2_Phase0     4.52659690e-01 +/- 2.59776126e+13
x_V34_Phase0    4.64308662e-01 +/- 2.59592881e+13
x_V35_Phase0    5.35735561e-01 +/- 2.61383678e+13
x_V3_Phase0     5.47392798e-01 +/- 2.67455680e+13
x_V42_Phase0    1.98213121e-01 +/- 2.24956614e+13
x_V43_Phase0    8.01588718e-01 +/- 3.08521327e+13
x_V45_Phase0    2.99608156e-01 +/- 3.06900415e+13
x_V48_Phase0    3.67824241e-02 +/- 7.63324710e+12
x_V49_Phase0    9.62969247e-01 +/- 2.18080307e+13
x_V4_Phase0     9.59462736e-01 +/- 3.24790582e+13
x_V50_Phase0    4.62472629e-01 +/- 2.52164530e+13
x_V51_Phase0    5.37607037e-01 +/- 3.09187753e+13
x_V52_Phase0    9.63341578e-01 +/- 2.22412729e+13
x_V53_Phase0    3.68243631e-02 +/- 8.10403777e+12
x_V54_Phase0    5.37815132e-01 +/- 2.73849267e+13
x_V55_Phase0    4.62185073e-01 +/- 2.71704797e+13
x_V5_Phase0     4.05248267e-02 +/- 9.78454776e+12
x_V67_Phase0    4.60207794e-01 +/- 3.30714219e+13
x_V6_Phase0     5.40413453e-01 +/- 2.65631897e+13
x_V72_Phase0    2.01357467e-01 +/- 2.32629074e+13
x_V73_Phase0    7.98672803e-01 +/- 2.46011543e+13
x_V74_Phase0    3.05205755e-01 +/- 2.97882059e+13
x_V75_Phase0    6.94794245e-01 +/- 3.34658236e+13
x_V76_Phase0    8.04225849e-01 +/- 3.37778564e+13
x_V77_Phase0    1.95774151e-01 +/- 2.69672000e+13
x_V78_Phase0    6.98024107e-01 +/- 2.44498471e+13
x_V79_Phase0    3.02159596e-01 +/- 3.08455163e+13
x_V7_Phase0     4.59599609e-01 +/- 2.62775609e+13
x_V82_Phase0    9.68517994e-01 +/- 2.70409884e+13
x_V83_Phase0    3.14430330e-02 +/- 6.80013694e+12
x_V84_Phase0    3.12558885e-02 +/- 6.38542010e+12
x_V85_Phase0    9.68743335e-01 +/- 2.64012887e+13
x_V87_Phase0    4.66580288e-01 +/- 3.05871179e+13
x_V91_Phase0    3.71078608e-01 +/- 3.13736108e+13
x_V96_Phase0    1.28439315e-01 +/- 1.97311095e+13
x_V97_Phase0    8.71602599e-01 +/- 2.52940390e+13
x_V98_Phase0    3.70988568e-01 +/- 3.45974963e+13
x_V99_Phase0    6.28464962e-01 +/- 3.01028054e+13
x_V9_Phase0     7.85125790e-01 +/- 2.98454575e+13
x_ZR0_Phase0    6.93044075e-04 +/- 1.52924349e+11
x_ZR100_Phase0  5.01262197e-01 +/- 3.17245569e+13
x_ZR101_Phase0  4.98634790e-01 +/- 3.13666763e+13
x_ZR102_Phase0  4.95099798e-01 +/- 3.14412225e+13
x_ZR103_Phase0  5.03036052e-01 +/- 3.14184331e+13
x_ZR104_Phase0  3.75968321e-04 +/- 7.85298297e+10
x_ZR105_Phase0  9.99604420e-01 +/- 3.18950364e+13
x_ZR106_Phase0  9.98144294e-01 +/- 3.16055365e+13
x_ZR107_Phase0  1.90540674e-03 +/- 4.28016867e+11
