Results written: Mon Mar  2 07:36:39 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01224365
Contributions  0.01224365
Restraints     0.00000000
Chi2           2.31512012
Reduced Chi2   0.00784786
Rw             0.11065101

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
y_O194_Phase0   5.97906000e-01 +/- 2.37851847e+11
y_O196_Phase0   9.03506000e-01 +/- 2.72631078e+11
y_O197_Phase0   9.64740000e-02 +/- 9.40786045e+10
y_O198_Phase0   9.89090000e-02 +/- 1.00197301e+11
y_O205_Phase0   2.19300000e-02 +/- 2.36215370e+10
y_O218_Phase0   6.60898000e-01 +/- 2.35585710e+11
y_O224_Phase0   3.15109000e-01 +/- 2.01720144e+11
y_O226_Phase0   6.82497000e-01 +/- 2.67096738e+11
y_O228_Phase0   8.17800000e-01 +/- 2.72268899e+11
y_O230_Phase0   1.84342000e-01 +/- 1.55177206e+11
y_O234_Phase0   3.40244000e-01 +/- 2.17708985e+11
y_O236_Phase0   8.39981000e-01 +/- 2.64356370e+11
y_O248_Phase0   1.71766000e-01 +/- 1.50742774e+11
y_O24_Phase0    4.31637000e-01 +/- 2.31158731e+11
y_O250_Phase0   8.28343000e-01 +/- 2.72471553e+11
y_O251_Phase0   1.71534000e-01 +/- 1.51327178e+11
y_O252_Phase0   6.69019000e-01 +/- 2.44173826e+11
y_O254_Phase0   3.28724000e-01 +/- 2.10721395e+11
y_O26_Phase0    5.69178000e-01 +/- 2.47139789e+11
y_O272_Phase0   1.73574000e-01 +/- 1.50309286e+11
y_O274_Phase0   8.28422000e-01 +/- 2.51990821e+11
y_O276_Phase0   6.72453000e-01 +/- 2.49362736e+11
y_O278_Phase0   3.27279000e-01 +/- 2.19483957e+11
y_O28_Phase0    9.31119000e-01 +/- 2.58074178e+11
y_O296_Phase0   3.48500000e-01 +/- 2.05700318e+11
y_O298_Phase0   6.52494000e-01 +/- 2.43642941e+11
