Results written: Sat Feb  7 09:43:43 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01781538
Contributions  0.01742556
Restraints     0.00038982
Chi2           2.50986516
Reduced Chi2   0.00868465
Rw             0.13344186

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V194_Phase0   2.82110727e-01 +/- 3.40692466e+13
x_V195_Phase0   7.17495666e-01 +/- 5.06720592e+13
x_V196_Phase0   7.86676771e-01 +/- 4.36824179e+13
x_V197_Phase0   2.13474615e-01 +/- 3.88398857e+13
x_V198_Phase0   7.13940472e-01 +/- 4.97474650e+13
x_V199_Phase0   2.85085152e-01 +/- 4.21656500e+13
x_V19_Phase0    1.23323547e-01 +/- 2.81434872e+13
x_V1_Phase0     9.56010324e-01 +/- 5.03538696e+13
x_V201_Phase0   6.99951462e-01 +/- 4.97418933e+13
x_V203_Phase0   2.08238924e-01 +/- 3.68000039e+13
x_V206_Phase0   7.06663528e-01 +/- 4.94309780e+13
x_V207_Phase0   2.92805722e-01 +/- 3.74287048e+13
x_V20_Phase0    6.20803751e-01 +/- 5.02197681e+13
x_V212_Phase0   9.64624902e-01 +/- 5.00295275e+13
x_V213_Phase0   3.51877425e-02 +/- 9.18875182e+12
x_V214_Phase0   4.12031290e-02 +/- 1.08890727e+13
x_V22_Phase0    3.75047874e-01 +/- 4.70679649e+13
x_V26_Phase0    1.21233374e-01 +/- 2.87139497e+13
x_V27_Phase0    8.78766630e-01 +/- 4.26470703e+13
x_V28_Phase0    6.19301330e-01 +/- 5.00148800e+13
x_V29_Phase0    3.80697638e-01 +/- 4.72615825e+13
x_V2_Phase0     4.52352855e-01 +/- 4.24310002e+13
x_V34_Phase0    4.64293518e-01 +/- 3.64441560e+13
x_V35_Phase0    5.35765050e-01 +/- 4.47314271e+13
x_V37_Phase0    4.13855052e-02 +/- 1.11762868e+13
x_V3_Phase0     5.47746561e-01 +/- 4.33005215e+13
x_V42_Phase0    1.97915724e-01 +/- 3.28809372e+13
x_V43_Phase0    8.01762195e-01 +/- 4.52366228e+13
x_V45_Phase0    2.99588051e-01 +/- 4.52062248e+13
x_V48_Phase0    3.71855570e-02 +/- 1.01595681e+13
x_V49_Phase0    9.62560738e-01 +/- 3.27859033e+13
x_V4_Phase0     9.59267100e-01 +/- 4.87395181e+13
x_V50_Phase0    4.62684028e-01 +/- 3.79088832e+13
x_V51_Phase0    5.37475033e-01 +/- 4.58330858e+13
x_V52_Phase0    9.63756644e-01 +/- 3.20568806e+13
x_V53_Phase0    3.67490456e-02 +/- 1.09081452e+13
x_V54_Phase0    5.37612598e-01 +/- 4.04149644e+13
x_V55_Phase0    4.62418152e-01 +/- 3.94915010e+13
x_V5_Phase0     4.08726289e-02 +/- 1.14306330e+13
x_V61_Phase0    7.04053547e-01 +/- 4.53999281e+13
x_V64_Phase0    4.57598355e-01 +/- 4.88901338e+13
x_V67_Phase0    4.60128863e-01 +/- 4.79731607e+13
x_V6_Phase0     5.40544743e-01 +/- 4.52015394e+13
x_V72_Phase0    2.01117686e-01 +/- 3.38166154e+13
x_V73_Phase0    7.98945832e-01 +/- 3.72960342e+13
x_V74_Phase0    3.05775957e-01 +/- 4.50404913e+13
x_V75_Phase0    6.94199752e-01 +/- 5.01769159e+13
x_V76_Phase0    8.04751083e-01 +/- 4.99456869e+13
x_V77_Phase0    1.95195997e-01 +/- 3.94205503e+13
x_V78_Phase0    6.98300255e-01 +/- 3.73511728e+13
x_V79_Phase0    3.01956255e-01 +/- 4.61893015e+13
x_V7_Phase0     4.59417022e-01 +/- 3.62020174e+13
x_V82_Phase0    9.68719694e-01 +/- 4.02988594e+13
x_V83_Phase0    3.13941637e-02 +/- 8.09112512e+12
x_V84_Phase0    3.07866855e-02 +/- 9.30006773e+12
x_V85_Phase0    9.69278735e-01 +/- 4.00630915e+13
x_V87_Phase0    4.66587527e-01 +/- 4.57939766e+13
x_V91_Phase0    3.70977360e-01 +/- 4.67722844e+13
x_V96_Phase0    1.29024946e-01 +/- 2.94540352e+13
x_V97_Phase0    8.70967192e-01 +/- 3.79403847e+13
x_V98_Phase0    3.70762736e-01 +/- 3.88443194e+13
x_V99_Phase0    6.28677072e-01 +/- 3.98428915e+13
x_V9_Phase0     7.84834400e-01 +/- 4.49750032e+13
x_ZR0_Phase0    7.43734026e-04 +/- 2.13914527e+11
x_ZR100_Phase0  5.01535766e-01 +/- 4.76341637e+13
x_ZR101_Phase0  4.98364437e-01 +/- 4.62169218e+13
x_ZR102_Phase0  4.94452229e-01 +/- 4.68940226e+13
x_ZR103_Phase0  5.03837297e-01 +/- 4.66384287e+13
x_ZR104_Phase0  4.18062671e-04 +/- 1.13880949e+11
x_ZR105_Phase0  9.99556720e-01 +/- 4.73869330e+13
x_ZR106_Phase0  9.97561642e-01 +/- 4.75530397e+13
x_ZR107_Phase0  2.42650859e-03 +/- 7.84185734e+11
x_ZR10_Phase0   9.92873257e-01 +/- 4.75756580e+13
x_ZR11_Phase0   6.64206495e-03 +/- 1.75917239e+12
x_ZR12_Phase0   3.04629931e-03 +/- 1.01678663e+12
x_ZR13_Phase0   9.96691460e-01 +/- 4.78560029e+13
x_ZR14_Phase0   5.03951486e-01 +/- 4.66711874e+13
x_ZR15_Phase0   4.96814602e-01 +/- 4.75403820e+13
x_ZR16_Phase0   3.37952564e-01 +/- 4.32305307e+13
x_ZR17_Phase0   6.61969052e-01 +/- 4.81144818e+13
x_ZR18_Phase0   6.62550892e-01 +/- 4.66834725e+13
x_ZR19_Phase0   3.37464109e-01 +/- 4.49574640e+13
