Results written: Fri Mar  6 16:06:21 2026
produced by tomek

Some quantities invalid due to missing profile uncertainty
Overall (Chi2 and Reduced Chi2 invalid)
------------------------------------------------------------------------------
Residual       0.01738092
Contributions  0.01738092
Restraints     0.00000000
Chi2           3.60449438
Reduced Chi2   0.00539595
Rw             0.13183671

Variables (Uncertainties invalid)
------------------------------------------------------------------------------
x_V193_Phase0   7.89782232e-01 +/- 8.77757937e+12
x_V194_Phase0   2.83254803e-01 +/- 8.40504184e+12
x_V195_Phase0   7.16740569e-01 +/- 8.83691489e+12
x_V196_Phase0   7.87138570e-01 +/- 8.77251556e+12
x_V197_Phase0   2.13241449e-01 +/- 8.31956886e+12
x_V198_Phase0   7.13933802e-01 +/- 9.53189214e+12
x_V199_Phase0   2.85448961e-01 +/- 9.37217450e+12
x_V1_Phase0     9.56265185e-01 +/- 1.04396934e+13
x_V206_Phase0   7.06753374e-01 +/- 1.04229167e+13
x_V207_Phase0   2.93218824e-01 +/- 8.74346707e+12
x_V20_Phase0    6.20901933e-01 +/- 1.01672523e+13
x_V213_Phase0   3.50932713e-02 +/- 2.43818820e+12
x_V26_Phase0    1.21834564e-01 +/- 5.98469981e+12
x_V27_Phase0    8.78162374e-01 +/- 8.67232838e+12
x_V2_Phase0     4.52576870e-01 +/- 8.73823269e+12
x_V34_Phase0    4.64069932e-01 +/- 8.60744151e+12
x_V35_Phase0    5.35936860e-01 +/- 8.69313454e+12
x_V3_Phase0     5.47440294e-01 +/- 8.74561164e+12
x_V42_Phase0    1.98603240e-01 +/- 7.63849594e+12
x_V43_Phase0    8.01365832e-01 +/- 9.90935595e+12
x_V45_Phase0    2.99488085e-01 +/- 9.07156894e+12
x_V48_Phase0    3.66639686e-02 +/- 2.17179299e+12
x_V49_Phase0    9.63221437e-01 +/- 8.56640180e+12
x_V4_Phase0     9.59482858e-01 +/- 1.02882365e+13
x_V50_Phase0    4.62294017e-01 +/- 8.66489419e+12
x_V51_Phase0    5.37634085e-01 +/- 9.75423354e+12
x_V52_Phase0    9.63076108e-01 +/- 8.53536580e+12
x_V53_Phase0    3.70282582e-02 +/- 2.42620911e+12
x_V54_Phase0    5.37714295e-01 +/- 9.19598151e+12
x_V55_Phase0    4.62292920e-01 +/- 9.12190949e+12
x_V5_Phase0     4.05369707e-02 +/- 2.45516633e+12
x_V67_Phase0    4.60250065e-01 +/- 1.01810437e+13
x_V6_Phase0     5.41242702e-01 +/- 8.83872522e+12
x_V72_Phase0    2.01133408e-01 +/- 7.56086436e+12
x_V73_Phase0    7.98910912e-01 +/- 8.86079428e+12
x_V74_Phase0    3.04924234e-01 +/- 9.20848359e+12
x_V75_Phase0    6.95074871e-01 +/- 1.02887976e+13
x_V76_Phase0    8.04089623e-01 +/- 1.03138948e+13
x_V77_Phase0    1.95909641e-01 +/- 8.07490415e+12
x_V78_Phase0    6.98154434e-01 +/- 9.13144761e+12
x_V79_Phase0    3.01846868e-01 +/- 8.30843997e+12
x_V7_Phase0     4.58754615e-01 +/- 8.77268948e+12
x_V82_Phase0    9.68648486e-01 +/- 9.67933824e+12
x_V83_Phase0    3.14095335e-02 +/- 2.00879568e+12
x_V84_Phase0    3.13758654e-02 +/- 1.97019227e+12
x_V85_Phase0    9.68623340e-01 +/- 9.37753744e+12
x_V91_Phase0    3.71239501e-01 +/- 9.79777412e+12
x_V96_Phase0    1.28595581e-01 +/- 6.22960768e+12
x_V97_Phase0    8.71412431e-01 +/- 9.37440018e+12
x_V98_Phase0    3.70815553e-01 +/- 8.81271569e+12
x_V99_Phase0    6.29183456e-01 +/- 9.22703613e+12
x_V9_Phase0     7.84980953e-01 +/- 9.65283668e+12
x_ZR0_Phase0    1.10806408e-03 +/- 6.97263008e+10
x_ZR100_Phase0  5.01648717e-01 +/- 8.56458240e+12
x_ZR101_Phase0  4.98564048e-01 +/- 8.68987412e+12
x_ZR102_Phase0  4.94961931e-01 +/- 7.46486912e+12
x_ZR103_Phase0  5.03055078e-01 +/- 7.84089786e+12
x_ZR104_Phase0  4.24258680e-04 +/- 2.32839148e+10
x_ZR105_Phase0  9.99544790e-01 +/- 8.69011674e+12
x_ZR106_Phase0  9.98044730e-01 +/- 8.19510295e+12
x_ZR107_Phase0  2.13903420e-03 +/- 1.36128878e+11
x_ZR10_Phase0   9.93505755e-01 +/- 7.30648154e+12
x_ZR11_Phase0   6.67310726e-03 +/- 4.44479833e+11
x_ZR12_Phase0   2.73534561e-03 +/- 1.88708699e+11
x_ZR13_Phase0   9.97202310e-01 +/- 8.18033879e+12
x_ZR14_Phase0   5.03878114e-01 +/- 8.71529290e+12
x_ZR15_Phase0   4.96950049e-01 +/- 7.83795690e+12
x_ZR16_Phase0   3.37547293e-01 +/- 7.23501269e+12
